x,y,z
17,30,22
17,30,36
17,31,21
17,31,22
17,32,21
17,32,22
17,33,20
17,33,21
17,33,22
17,34,20
17,34,21
17,35,20
17,35,21
17,36,19
17,36,20
17,36,21
17,37,18
17,37,19
17,37,20
17,37,21
17,38,17
17,38,18
17,38,19
17,38,20
17,39,16
17,39,17
17,39,18
17,39,19
17,40,16
17,40,17
17,40,18
17,40,37
17,40,38
17,40,39
17,40,40
17,41,35
17,41,36
17,41,37
17,41,38
17,41,39
17,41,40
17,41,41
17,41,42
17,42,30
17,42,33
17,42,34
17,42,35
17,42,36
17,42,37
17,42,38
17,42,39
17,42,40
17,42,41
17,43,23
17,43,24
17,43,25
17,43,26
17,43,27
17,43,28
17,43,29
17,43,30
17,43,31
17,43,32
17,43,33
17,43,34
17,43,35
17,43,36
17,44,23
17,44,24
17,44,25
17,44,26
17,44,27
17,44,28
17,44,29
17,44,30
17,44,31
17,44,32
17,45,22
17,45,23
17,45,24
17,45,25
17,45,26
17,45,27
17,45,28
17,45,29
17,45,30
17,46,22
17,46,23
17,46,24
17,46,25
17,46,26
17,46,27
17,46,28
17,46,29
17,46,30
17,47,22
17,47,23
17,47,24
17,47,25
17,47,26
17,47,27
17,47,28
17,47,29
17,48,22
17,48,23
17,48,24
17,48,25
17,48,26
17,48,27
17,48,28
17,48,29
17,49,22
17,49,23
17,49,24
17,49,25
17,49,26
17,49,27
17,49,28
17,49,29
17,50,23
17,50,24
17,50,25
17,50,26
17,50,27
17,50,28
17,51,24
17,51,25
17,51,26
17,51,27
17,51,28
17,52,25
17,52,26
17,52,27
17,52,28
17,53,25
17,53,26
17,53,27
17,53,28
17,53,32
17,53,33
17,53,34
17,53,35
17,53,36
17,54,24
17,54,25
17,54,26
17,54,27
17,54,28
17,54,29
17,54,30
17,54,31
17,54,32
17,54,33
17,54,34
17,54,35
17,54,36
17,55,24
17,55,25
17,55,26
17,55,27
17,55,28
17,55,29
17,55,30
17,55,31
17,55,32
17,55,33
17,55,34
17,55,35
17,55,36
17,55,37
17,56,23
17,56,24
17,56,25
17,56,26
17,56,27
17,56,28
17,56,29
17,56,30
17,56,31
17,56,32
17,56,33
17,56,34
17,56,35
17,56,36
17,56,37
17,57,23
17,57,24
17,57,25
17,57,26
17,57,27
17,57,28
17,57,29
